Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
904;40,79958;-73,95786;18,32638;125;81;14;0;0;2020-04-13 08:44:50.000
905;40,79846;-73,95828;27,13507;126;81;14;0;0;2020-04-13 08:44:40.000
906;40,79834;-73,95801;29,11719;126;82;14;0;0;2020-04-13 08:44:38.000
907;40,79831;-73,95787;29,87402;126;81;14;0;0;2020-04-13 08:44:37.000
908;40,79828;-73,95774;30,48942;126;81;14;0;0;2020-04-13 08:44:36.000
909;40,79824;-73,95762;31,07509;126;81;14;0;0;2020-04-13 08:44:35.000
910;40,79821;-73,9575;31,56129;126;81;14;0;0;2020-04-13 08:44:34.000
911;40,79818;-73,9574;31,54666;126;80;14;0;0;2020-04-13 08:44:33.000
912;40,79814;-73,95731;31,52712;126;81;14;0;0;2020-04-13 08:44:32.000
913;40,79809;-73,95723;31,55245;126;80;14;0;0;2020-04-13 08:44:31.000
914;40,79805;-73,95717;31,56973;126;82;14;0;0;2020-04-13 08:44:30.000
915;40,79839;-73,95815;28,17877;126;81;14;0;0;2020-04-13 08:44:39.000
916;40,79959;-73,95768;18,34552;125;82;14;0;0;2020-04-13 08:44:51.000
917;40,79955;-73,9575;18,89799;125;83;14;0;0;2020-04-13 08:44:52.000
918;40,79951;-73,95734;18,72899;124;81;14;0;0;2020-04-13 08:44:53.000
919;40,79801;-73,95428;7,065506;122;81;14;0;0;2020-04-13 08:45:14.000
920;40,79814;-73,95424;7,079524;123;81;14;0;0;2020-04-13 08:45:13.000
921;40,79828;-73,95425;7,450362;122;81;14;0;0;2020-04-13 08:45:12.000
922;40,7984;-73,95431;8,098804;123;81;14;0;0;2020-04-13 08:45:11.000
923;40,7985;-73,95444;8,958835;123;81;14;0;0;2020-04-13 08:45:10.000
924;40,79859;-73,95458;9,684504;123;81;14;0;0;2020-04-13 08:45:09.000
925;40,79868;-73,95473;10,21295;123;81;14;0;0;2020-04-13 08:45:08.000
926;40,79876;-73,95488;10,53156;123;82;14;0;0;2020-04-13 08:45:07.000
927;40,79884;-73,95504;10,85532;123;82;14;0;0;2020-04-13 08:45:06.000
928;40,79893;-73,9552;11,52388;123;82;14;0;0;2020-04-13 08:45:05.000
929;40,799;-73,95536;12,02048;123;83;14;0;0;2020-04-13 08:45:04.000
930;40,79908;-73,95553;12,34819;124;83;14;0;0;2020-04-13 08:45:03.000
931;40,79915;-73,9557;12,53343;123;81;14;0;0;2020-04-13 08:45:02.000
932;40,79921;-73,95589;13,19446;124;81;14;0;0;2020-04-13 08:45:01.000
933;40,79926;-73,95606;14,01564;124;80;14;0;0;2020-04-13 08:45:00.000
934;40,79931;-73,95625;14,83368;124;80;14;0;0;2020-04-13 08:44:59.000
935;40,79934;-73,95644;15,64142;124;80;14;0;0;2020-04-13 08:44:58.000
936;40,79937;-73,95663;16,34525;124;80;14;0;0;2020-04-13 08:44:57.000
903;40,79856;-73,95839;25,98456;126;81;14;0;0;2020-04-13 08:44:41.000
902;40,79868;-73,95845;24,78064;126;80;14;0;0;2020-04-13 08:44:42.000
901;40,79882;-73,95848;23,58588;126;81;14;0;0;2020-04-13 08:44:43.000
900;40,79895;-73,95849;22,414;126;81;14;0;0;2020-04-13 08:44:44.000
899;40,79909;-73,95844;21,40234;126;82;14;0;0;2020-04-13 08:44:45.000
898;40,79921;-73,95836;20,61098;126;82;14;0;0;2020-04-13 08:44:46.000
897;40,79933;-73,95827;19,9715;126;81;14;0;0;2020-04-13 08:44:47.000
